SN,TEST_NAME,sub_test_name,test_result,lower_limit,upper_limit,test_value,process,mapping_process,endtime,[station_id],[fixture_id]
FM792110039L82KAD22,039.L,039.L,pass,0.145,0.265,0.213,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7920500YLL82KCA19,491.L,491.L,pass,1.395,1.555,1.496,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM791410029M0XDEN13,A144.N,A144-UA10.N,pass,3.735,3.995,3.836,ump-t3,ua-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7920700JLL82KCG19,589.L,589-01.L,pass,-0.055,0.055,-0.008,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7920700JLL82KCG19,051.L,051.L,pass,0,1.5,0,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM791360040M0XDEP13,A005.Z,A005-03.Z,pass,157.805,158.115,157.969,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7914400EEM0XCED13,A119.N,A119-B2.N,pass,10.815,11.225,10.942,ump-t3,ua-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921201LDL82LCH22,639.S,639-01.S,pass,0.185,0.495,0.308,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700C1M0XDEX13,A008.N,A008-East.N,pass,-3.5,3.5,0,ump-t3,CNC6,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700C1M0XDEX13,A110.N,A110.N,pass,9.195,9.605,9.29,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700C1M0XDEX13,A004.Y,A004.Y,pass,75.065,75.295,75.11,ump-t3,sp-wld1,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700C1M0XDEX13,A121.N,A121.N,pass,8.535,8.885,8.711,ump-t3,la-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7914300K7M0XCE613,711.Z,711-10.Z,pass,-0.085,0.085,0,ump-t3,polish1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921100JML82LCH22,473.L,473.L,pass,0.145,0.265,0.204,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79212003NL82JA022,124.N,124-10.N,pass,0.115,0.325,0.206,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79212003NL82JA022,124.N,124-10.N,pass,0.115,0.325,0.206,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921100M6L82LCP22,051.L,051.L,pass,0,1.5,0,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914400B5M0XCEX13,A121.N,A121.N,pass,8.535,8.885,8.671,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM792060108M0XDC619,110.N,110.N,pass,5.555,5.665,5.626,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7914100KLM0XDEU13,A138.N,A138-B3.N,pass,25.855,26.165,25.904,ump-t3,mlb-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7919600BJL82JCF19,641.S,641.S,pass,0.235,0.545,0.457,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79144012LM0XCE813,A147.N,A147-ML01.N,pass,3.975,4.235,4.074,ump-t3,mlb-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7914400CLM0XCED13,A036.N,A036-UL.N,pass,-0.025,0.025,0.001,ump-t3,Grinding,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921202BRL82LCX22,158.L,158.L,fail,3.655,3.865,3.866,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79212012WL82LCL22,569.N,569.N,pass,0,0.155,0.048,ump-t1,CNC6,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM791440173M0XCEA13,A124.N,A124.N,pass,32.235,32.645,32.415,ump-t3,ua-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700LKM0XDEP13,A008.N,A008-South.N,pass,-1.5,1.9,0,ump-t3,CNC6,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7914100KLM0XDEU13,A005.Z,A005.Z,pass,-0.05,1.9,0,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921200DDL82JAD22,471.L,471-TU.L,pass,0.145,0.265,0.184,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79137020YM0XDE013,A035.N,A035-UL.N,pass,-0.025,0.025,0.006,ump-t3,Grinding,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79143007QM0XCER13,A016.N,A016-Gap.N,pass,-0.005,0.165,0.05,ump-t3,BGASSY,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79213002HL82LCZ22,486.L,486-B02.L,pass,1.365,1.485,1.441,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79212002UL82JAX22,450.L,450-05.L,pass,0.01,0.22,0.059,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79137020YM0XDE013,A144.N,A144-LA13.N,pass,3.735,3.995,3.921,ump-t3,la-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79212000JL82JAD22,471.L,471-TU.L,pass,0.145,0.265,0.195,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79211000GL82LC822,483.L,483-N.L,pass,0.825,0.945,0.896,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79212002UL82JAX22,473.L,473-TU.L,pass,0.145,0.265,0.187,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79137020YM0XDE013,A144.N,A144-LA11.N,pass,3.455,3.715,3.588,ump-t3,la-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7917201EUL82JEZ16,453.L,453.L,pass,0.01,0.22,0.086,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921100Q3L82LCH22,450.L,450.L,pass,0.01,0.22,0.092,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79141013DM0XDEE13,A331.N,A331.N,pass,4.915,5.225,5.056,ump-t3,mlb-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7920700F9L82JC319,039.L,039-TS.L,pass,0.145,0.265,0.33,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM792070056L82JC219,483.L,483-S.L,pass,0.825,0.945,0.924,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79213006QL82LCE22,328.N,328.N,pass,1.265,1.335,1.302,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921300MDL82LCE22,237.N,237-07.N,pass,0.405,0.515,0.432,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79137005HM0XDE213,A006.N,A006.N,pass,77.695,78.005,77.815,ump-t3,sp-wld1,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921200BLL82JAC22,560.N,560-01.N,pass,1.315,1.385,1.345,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7920300JUM0XDC419,234.N,234.N,fail,0.175,0.255,0.258,ump-t1,Grinding,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79137016LM0XDEV13,A224.Y,A224-A01.Y,pass,0.455,0.615,0.502,ump-t3,trim-sp-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79137005HM0XDE213,A005.Z,A005-02.Z,pass,157.805,158.115,157.954,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79137005HM0XDE213,A005.Z,A005-02.Z,pass,157.805,158.115,157.954,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79137016LM0XDEV13,129.Y,129-02.Y,pass,2.975,3.245,3.16,ump-t3,CNC5-2,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7920400WGM0XDCD19,450.L,450-09.L,pass,0.01,0.22,0.119,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7914101G6M0XDEG13,A147.N,A147-ML02.N,pass,3.975,4.235,4.111,ump-t3,mlb-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921201B0L82LCP22,639.S,639.S,pass,0.185,0.495,0.325,ump-t1,CNC7,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7913700DQM0XDE513,A118.N,A118.N,pass,19.365,19.715,19.536,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7914100KLM0XDEU13,A124.N,A124-B3.N,pass,32.235,32.645,32.756,ump-t3,ua-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921202DNL82LCU22,580.N,580-09.N,pass,1.315,1.385,1.353,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914100KLM0XDEU13,A006.N,A006-06.N,pass,77.695,78.005,77.838,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79144018MM0XCEP13,A039.Z,A039.Z,pass,-0.025,0.025,-0.002,ump-t3,Grinding,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921201M9L82LCJ22,471.L,471.L,pass,0.145,0.265,0.23,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79207004CL82JCZ19,237.N,237-12.N,pass,0.405,0.515,0.401,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7914100KLM0XDEU13,A131.N,A131.N,pass,7.145,7.455,7.292,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700LKM0XDEP13,A273.N,A273.N,pass,4.055,4.465,4.281,ump-t3,bd-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921201M9L82LCJ22,094.L,094-S.L,pass,0.825,0.945,0.88,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914100KLM0XDEU13,A144.N,A144-LA09.N,pass,3.115,3.375,3.286,ump-t3,la-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700LKM0XDEP13,A131.N,A131.N,pass,7.145,7.455,7.277,ump-t3,la-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79144018MM0XCEP13,A004.Y,A004-10.Y,pass,75.065,75.295,75.177,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7914100KLM0XDEU13,711.Z,711-11.Z,pass,-0.085,0.085,0,ump-t3,polish1,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921200BLL82JAC22,107.L,107.L,pass,1.805,1.855,1.819,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79137005HM0XDE213,A006.N,A006.N,pass,77.695,78.005,77.814,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700DQM0XDE513,A005.Z,A005-36.Z,pass,157.805,158.115,157.981,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700DQM0XDE513,A225.N,A225.N,pass,1.115,1.525,1.337,ump-t3,la-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7920300CEM0XDC219,269.S,269.S,pass,0.615,1.025,0.761,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7919700JCL82JCZ19,039.L,039.L,pass,0.145,0.265,0.196,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM792060010L82JCM19,051.L,051.L,pass,0,1.5,0,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921200U3L82LC422,004.L,004-01.L,pass,0.895,1.105,1.016,ump-t1,Grinding,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM792120020L82JAR22,237.N,237-04.N,pass,0.405,0.515,0.465,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700F6M0XDEH13,A122.N,A122.N,pass,7.145,7.455,7.327,ump-t3,la-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7920700F9L82JC319,237.N,237-01.N,pass,0.405,0.515,0.443,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914401EZM0XCET13,A022.N,A022-16.N,pass,-0.005,0.155,-0.018,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7914401NLM0XCEG13,319.Y,319.Y,pass,0.085,0.265,0.125,ump-t3,CNC5-2,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921100RKL82LCY22,469.L,469.L,pass,0.145,0.265,0.203,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921100RKL82LCY22,469.L,469.L,pass,0.145,0.265,0.203,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700XDM0XDEW13,A144.N,A144-LA03.N,pass,2.235,2.495,2.328,ump-t3,CNC7,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79136001RM0XDE713,A004.Y,A004-11.Y,pass,75.065,75.295,75.195,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921100Q3L82LCH22,472.L,472.L,pass,0.145,0.265,0.23,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921300K4L82LCV22,490.L,490.L,pass,1.395,1.555,1.508,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79141013DM0XDEE13,A022.N,A022-23-C3.N,pass,-0.005,0.155,0.257,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921300K4L82LCV22,639.S,639.S,pass,0.185,0.495,0.337,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921100RKL82LCY22,148.L,148.L,pass,1.805,1.855,1.826,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79207010ZL82KCN19,110.N,110.N,pass,5.555,5.665,5.657,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921200U3L82LC422,011.L,011-01.L,pass,0.895,1.105,1.03,ump-t1,Grinding,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921100HPL82LCJ22,234.N,234.N,pass,0.175,0.255,0.219,ump-t1,Grinding,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921100H7L82LC022,259.S,259-P234.S,pass,0.205,0.515,0.36,ump-t1,CNC7,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79137005HM0XDE213,A122.N,A122-B2.N,pass,7.145,7.455,1.357,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7920400WGM0XDCD19,148.L,148.L,pass,1.805,1.855,1.844,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM792060034L82JCB19,483.L,483-N.L,pass,0.825,0.945,0.916,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79213002LL82LCW22,484.L,484.L,pass,1.365,1.485,1.43,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7920500EAL82KC619,130.N,130.N,pass,1.805,1.855,1.855,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79137016LM0XDEV13,A161.N,A161.N,pass,0.405,0.815,0.556,ump-t3,ua-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7920400WGM0XDCD19,342.L,342-01.L,pass,0.065,0.185,0.115,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921100H7L82LC022,471.L,471.L,pass,0.145,0.265,0.243,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921100RKL82LCY22,011.L,011-01.L,pass,0.895,1.105,1.032,ump-t1,Grinding,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79212004SL82LCK22,234.N,234.N,pass,0.175,0.255,0.209,ump-t1,Grinding,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7913700CQM0XDE813,711.Z,711-09.Z,pass,-0.085,0.085,-0.012,ump-t3,polish1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700XDM0XDEW13,A008.N,A008-South.N,pass,-1.5,1.9,0,ump-t3,CNC6,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921100BGL82JAH22,237.N,237-01.N,pass,0.405,0.515,0.403,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921100LGL82LCG22,701.S,701-P15.S,pass,0.19,0.49,0.322,ump-t1,CNC7,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700F6M0XDEH13,A035.N,A035-UL.N,pass,-0.025,0.025,0.015,ump-t3,Grinding,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921300K4L82LCV22,147.L,147.L,pass,1.805,1.855,1.83,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921202BRL82LCX22,560.N,560-01.N,pass,1.315,1.385,1.374,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7914100KLM0XDEU13,A139.N,A139-B3.N,pass,5.635,5.945,6.874,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79212003NL82JA022,126.N,126-05.N,pass,0.145,0.355,0.265,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79212003NL82JA022,470.L,470.L,pass,0.145,0.265,0.206,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921202C1L82LCJ22,469.L,469-TS.L,pass,0.145,0.265,0.202,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7920500CXL82KCR19,071.L,071.L,pass,0.815,0.975,0.887,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921300RUL82LCM22,109.N,109.N,pass,1.845,1.935,1.876,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM791410029M0XDEN13,A331.N,A331.N,pass,4.915,5.225,5.047,ump-t3,mlb-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79212003NL82JA022,342.L,342.L,pass,0.065,0.185,0.146,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921100M6L82LCP22,486.L,486.L,pass,1.365,1.485,1.412,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79213001BM0XDC122,589.L,589-01.L,pass,-0.055,0.055,-0.017,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7913700LKM0XDEP13,A140.N,A140-B2.N,pass,14.565,14.975,15.718,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79212014SL82LCJ22,580.N,580-06.N,pass,1.315,1.385,1.34,ump-t1,CNC6,2019.05.26,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM791430021M0XCEV13,A147.N,A147-ML01.N,pass,3.975,4.235,4.107,ump-t3,mlb-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921202DNL82LCU22,328.N,328.N,pass,1.265,1.335,1.324,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM792060108M0XDC619,274.S,274-03.S,pass,0.205,0.515,0.381,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7920400X5M0XDCM19,004.L,004-01.L,pass,0.895,1.105,1.003,ump-t1,Grinding,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM791430021M0XCEV13,A016.N,A016-Gap.N,pass,-0.005,0.165,0.05,ump-t3,BGASSY,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700CQM0XDE813,A035.N,A035-UR.N,pass,-0.025,0.025,0.01,ump-t3,Grinding,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921300XML82LCA22,093.L,093.L,pass,1.365,1.485,1.409,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921100RKL82LCY22,011.L,011-01.L,pass,0.895,1.105,1.032,ump-t1,Grinding,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921100BGL82JAH22,484.L,484-B03.L,pass,1.365,1.485,1.464,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79141013DM0XDEE13,A326.Y,A326-O.Y,pass,0,0.065,0.007,ump-t3,trim-sp-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79141013DM0XDEE13,531.Z,531-05.Z,pass,-0.005,0.305,0.134,ump-t3,CNC5-1,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921200Y1L82JA222,342.L,342-01.L,pass,0.065,0.185,0.099,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914100WDM0XDE213,A119.N,A119.N,pass,10.815,11.225,11.074,ump-t3,ua-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7914100WDM0XDE213,A119.N,A119.N,pass,10.815,11.225,11.074,ump-t3,ua-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921300UCL82LCU22,274.S,274-04.S,pass,0.205,0.515,0.372,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79212000KL82LC422,590.L,590.L,pass,0.815,0.975,0.894,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7920100B5M0XDCG19,580.N,580-05.N,pass,1.315,1.385,1.363,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7920500YLL82KCA19,701.S,701-P15.S,pass,0.19,0.49,0.39,ump-t1,CNC7,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79137020YM0XDE013,A022.N,A022-07.N,pass,-0.005,0.155,0.214,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79212000JL82JAD22,485.L,485-B01.L,pass,1.365,1.485,1.405,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7913700LKM0XDEP13,A023.N,A023.N,pass,-0.005,0.205,0.136,ump-t3,sp-wld1,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921100M6L82LCP22,486.L,486.L,pass,1.365,1.485,1.412,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7914100KLM0XDEU13,A138.N,A138-B3.N,pass,25.855,26.165,25.904,ump-t3,mlb-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79196003FL82JC819,336.L,336.L,pass,13.095,13.205,13.16,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921201M9L82LCJ22,007.N,007-01.N,pass,0.895,1.105,1.018,ump-t1,Grinding,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921201C3L82LCH22,487.L,487.L,pass,1.365,1.485,1.408,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
